np.inf	125	86	503	70	154	299	171	398	459	603	204	50	75	235	362	28	25	95	29	25	70	342	62	297	398	81	136	127	64	41
125	np.inf	134	380	120	320	216	64	234	306	499	180	126	135	121	242	113	120	213	95	103	167	310	68	185	290	132	194	140	88	185
86	134	np.inf	512	23	234	317	186	407	468	612	259	42	156	244	371	66	80	176	86	80	151	351	60	306	407	162	81	35	68	122
503	380	512	np.inf	500	560	252	333	114	78	152	360	505	495	265	193	492	498	568	477	479	520	181	50	195	139	486	580	524	349	512
70	120	23	500	np.inf	230	330	170	316	425	620	260	25	135	238	361	49	64	159	69	64	136	410	53	310	417	144	91	49	44	107
154	320	234	560	230	np.inf	310	314	328	484	697	203	198	161	380	510	175	162	61	177	172	127	390	255	450	560	151	323	280	171	138
299	216	317	252	330	310	np.inf	160	554	175	390	106	309	186	170	250	296	303	226	281	284	198	80	277	169	270	195	407	355	173	264
171	64	186	333	170	314	160	np.inf	184	255	455	169	178	135	67	196	165	171	228	150	146	180	240	118	138	246	146	250	194	106	207
398	234	407	114	316	328	554	184	np.inf	73	368	246	399	379	233	214	387	393	375	372	375	343	61	351	242	180	344	462	424	277	411
459	306	468	78	425	484	175	255	73	np.inf	215	282	460	430	190	150	448	454	415	432	301	388	104	370	118	108	442	502	448	289	440
603	499	612	152	620	697	390	455	368	215	np.inf	495	604	575	390	300	588	598	667	576	580	620	317	575	300	250	585	702	648	460	661
204	180	259	360	260	203	106	169	246	282	495	np.inf	252	111	236	265	226	213	131	223	226	103	188	220	281	372	101	248	295	132	160
50	126	42	505	25	198	309	178	399	460	604	252	np.inf	122	236	263	30	44	139	49	44	114	344	57	298	399	128	91	81	60	86
75	135	156	495	135	161	186	135	379	430	575	111	122	np.inf	230	357	96	84	87	98	94	38	298	145	282	383	17	204	195	67	43
235	121	244	265	238	380	170	67	233	190	390	236	236	230	np.inf	128	222	229	300	209	213	251	170	185	70	180	218	314	261	155	271
362	242	371	193	361	510	250	196	214	150	300	265	263	357	128	np.inf	350	357	426	335	341	378	228	314	79	50	345	443	390	279	403
28	113	66	492	49	175	296	165	387	448	588	226	30	96	222	350	np.inf	22	117	11	10	93	331	48	285	386	102	116	109	50	63
25	120	80	498	64	162	303	171	393	454	598	213	44	84	229	357	22	np.inf	104	24	20	79	337	57	292	393	90	130	122	59	50
95	213	176	568	159	61	226	228	375	415	667	131	139	87	300	426	117	104	np.inf	119	114	66	315	151	361	462	93	225	215	126	59
29	95	86	477	69	177	281	150	372	432	576	223	49	98	209	335	11	24	119	np.inf	5	94	316	35	270	371	104	134	100	25	64
25	103	80	479	64	172	284	146	375	301	580	226	44	94	213	341	10	20	114	5	np.inf	89	319	39	272	375	100	130	105	27	60
70	167	151	520	136	127	198	180	343	388	620	103	114	38	251	378	93	79	66	94	89	np.inf	287	126	313	414	44	200	191	128	35
342	310	351	181	410	390	80	240	61	104	317	188	344	298	170	228	331	337	315	316	319	287	np.inf	360	145	192	285	484	434	230	344
62	68	60	50	53	255	277	118	351	370	575	220	57	145	185	314	48	57	151	35	39	126	360	np.inf	254	362	136	123	71	4	117
297	185	306	195	310	450	169	138	242	118	300	281	298	282	70	79	285	292	361	270	272	313	145	254	np.inf	121	279	384	331	210	340
398	290	407	139	417	560	270	246	180	108	250	372	399	383	180	50	386	393	462	371	375	414	192	362	121	np.inf	380	492	440	288	450
81	132	162	486	144	151	195	146	344	442	585	101	128	17	218	345	102	90	93	104	100	44	285	136	279	380	np.inf	210	201	72	50
136	194	81	580	91	323	407	250	462	502	702	348	91	204	314	443	116	130	225	134	130	200	484	123	384	492	210	np.inf	53	100	198
127	140	35	524	49	280	355	194	424	448	648	295	81	195	261	390	109	122	215	100	105	191	434	71	331	440	201	53	np.inf	67	155
64	88	68	349	44	171	173	106	277	289	460	132	60	67	155	279	50	59	126	25	27	128	230	4	210	288	72	100	67	np.inf	77
41	185	122	512	107	138	264	207	411	440	661	160	86	43	271	403	63	50	59	64	60	35	344	117	340	450	50	198	155	77	np.inf

